,step,lr,grid,k,internal_units,batch,lamb,lamb_entropy,avg_val_loss
388,80,0.001,8,2,12,32,0.01,100,0.9429487387339274
389,80,0.001,8,2,12,64,0.01,100,0.9419638713200887
390,80,0.001,8,2,16,32,0.01,100,0.9734487732251486
391,80,0.001,8,2,16,64,0.01,100,0.9736245274543762
392,80,0.001,8,2,12,32,0.1,10,0.9469039837519327
393,80,0.001,8,2,12,64,0.1,10,0.9457398255666097
394,80,0.001,8,2,16,32,0.1,10,0.974428137143453
395,80,0.001,8,2,16,64,0.1,10,0.9748240907986959
396,80,0.001,8,2,12,32,0.1,100,0.9836311936378479
397,80,0.001,8,2,12,64,0.1,100,0.9844368894894918
398,80,0.001,8,2,16,32,0.1,100,0.9999024271965027
399,80,0.001,8,2,16,64,0.1,100,1.0003718535105388
400,80,0.001,8,3,12,32,0.01,10,0.8208324114481608
401,80,0.001,8,3,12,64,0.01,10,0.8013140360514323
402,80,0.001,8,3,16,32,0.01,10,0.8304152091344198
403,80,0.001,8,3,16,64,0.01,10,0.8130921721458435
404,80,0.001,8,3,12,32,0.01,100,0.9400018453598022
405,80,0.001,8,3,12,64,0.01,100,0.9426880677541097
406,80,0.001,8,3,16,32,0.01,100,0.9743129014968872
407,80,0.001,8,3,16,64,0.01,100,0.9746076862017313
408,80,0.001,8,3,12,32,0.1,10,0.9439380367596945
409,80,0.001,8,3,12,64,0.1,10,0.9463769793510437
410,80,0.001,8,3,16,32,0.1,10,0.9754200379053751
411,80,0.001,8,3,16,64,0.1,10,0.9757026831309
412,80,0.001,8,3,12,32,0.1,100,0.979566772778829
413,80,0.001,8,3,12,64,0.1,100,0.9840328892072042
414,80,0.001,8,3,16,32,0.1,100,1.000349760055542
415,80,0.001,8,3,16,64,0.1,100,1.0004582007726033
416,80,0.001,10,2,12,32,0.01,10,0.8473817110061646
417,80,0.001,10,2,12,64,0.01,10,0.8232018748919169
418,80,0.001,10,2,16,32,0.01,10,0.8201191425323486
